id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13348889,JH128695,2024-01-25T23:30:00.000,078XX S KIMBARK AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,APARTMENT,False,False,0411,004,8,45,07,1186237,1853345,2024,2024-02-02T15:41:03.000,41.752703339,-87.593084065,"{'latitude': '41.752703339', 'longitude': '-87.593084065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,41,133,35,61,19,224,10
13348541,JH128360,2024-01-25T23:28:00.000,001XX N MASON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1512,015,29,25,08B,1136750,1900418,2024,2024-02-02T15:41:03.000,41.882904681,-87.773311839,"{'latitude': '41.882904681', 'longitude': '-87.773311839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22216,26,618,7,32,25,85,29
13348574,JH128410,2024-01-25T23:27:00.000,054XX S ELLIS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,True,0233,002,5,41,05,1183866,1869676,2024,2024-02-02T15:41:03.000,41.797572754,-87.601263259,"{'latitude': '41.797572754', 'longitude': '-87.601263259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,21192,8,440,33,10,24,124,3
13348519,JH128353,2024-01-25T23:26:00.000,048XX S DREXEL BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,0223,002,4,39,14,1183003,1873107,2024,2024-02-02T15:41:03.000,41.807007819,-87.604321257,"{'latitude': '41.807007819', 'longitude': '-87.604321257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,21192,5,461,10,10,24,116,9
13348628,JH128376,2024-01-25T23:23:00.000,085XX S WINCHESTER AVE,0550,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,ALLEY,False,False,0614,006,18,71,04A,1164840,1847951,2024,2024-02-02T15:41:03.000,41.738379846,-87.671647227,"{'latitude': '41.738379846', 'longitude': '-87.671647227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,21554,70,532,13,59,20,237,18
13348580,JH128346,2024-01-25T23:08:00.000,040XX W WILCOX ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,ALLEY,False,True,1115,011,28,26,26,1149461,1899029,2024,2024-02-02T15:41:03.000,41.878856009,-87.726672071,"{'latitude': '41.878856009', 'longitude': '-87.726672071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,675,23,30,16,100,28
13349242,JH129441,2024-01-25T23:05:00.000,056XX N OZARK AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1613,016,41,10,08A,1123668,1936592,2024,2024-02-02T15:41:03.000,41.982395076,-87.820556093,"{'latitude': '41.982395076', 'longitude': '-87.820556093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34,22243,36,735,29,17,12,49,41
13348971,JH128775,2024-01-25T23:05:00.000,072XX S UNION AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,0732,007,6,68,06,1173003,1856829,2024,2024-02-02T15:41:03.000,41.762566091,-87.641478302,"{'latitude': '41.762566091', 'longitude': '-87.641478302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,511,32,11,17,214,4
13348501,JH128359,2024-01-25T23:02:00.000,013XX W CARROLL AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,1215,012,27,28,26,1167105,1902296,2024,2024-02-02T15:41:03.000,41.887460395,-87.66179283,"{'latitude': '41.887460395', 'longitude': '-87.66179283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14917,29,63,46,44,15,78,27
13348650,JH128392,2024-01-25T23:00:00.000,046XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,True,0924,009,15,61,14,1165126,1873957,2024,2024-02-02T15:41:03.000,41.809737717,-87.669864324,"{'latitude': '41.809737717', 'longitude': '-87.669864324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,14924,59,706,3,37,23,108,15
13349139,JH129300,2024-01-25T23:00:00.000,014XX W TAYLOR ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,False,False,1231,012,28,28,06,1166713,1895679,2024,2024-02-02T15:41:03.000,41.869311235,-87.663422037,"{'latitude': '41.869311235', 'longitude': '-87.663422037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14917,29,758,23,44,15,136,28
13349117,JH129062,2024-01-25T23:00:00.000,074XX S MAY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,False,False,0733,007,17,68,07,1169939,1855504,2024,2024-02-02T15:41:03.000,41.758997196,-87.652746736,"{'latitude': '41.758997196', 'longitude': '-87.652746736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,512,31,11,17,215,17
13348697,JH128582,2024-01-25T23:00:00.000,065XX N OAKLEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2412,024,50,2,14,1159797,1943150,2024,2024-02-02T15:41:03.000,41.999720063,-87.68749962,"{'latitude': '41.999720063', 'longitude': '-87.68749962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,320,27,12,11,46,50
13348566,JH128475,2024-01-25T23:00:00.000,010XX S MAYFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1513,015,29,25,06,1137204,1895066,2024,2024-02-02T15:41:03.000,41.868209924,-87.771773286,"{'latitude': '41.868209924', 'longitude': '-87.771773286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22216,26,61,7,32,25,99,29
13349261,JH129414,2024-01-25T23:00:00.000,017XX E 55TH ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,0234,002,5,41,08B,1189179,1868875,2024,2024-02-02T15:41:03.000,41.79524894,-87.581805682,"{'latitude': '41.79524894', 'longitude': '-87.581805682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,8,502,33,60,24,132,3
13348840,JH128844,2024-01-25T23:00:00.000,019XX S KEDZIE AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1022,010,24,29,06,1155333,1890362,2024,2024-02-02T15:41:03.000,41.854956912,-87.705343887,"{'latitude': '41.854956912', 'longitude': '-87.705343887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,132,14,57,21,152,24
13349081,JH129176,2024-01-25T23:00:00.000,054XX N KIMBALL AVE,0810,THEFT,OVER $500,STREET,False,False,1712,017,39,13,06,1152740,1935947,2024,2024-02-02T15:41:03.000,41.98009778,-87.713652412,"{'latitude': '41.98009778', 'longitude': '-87.713652412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46,21849,13,167,38,20,1,48,39
13348551,JH128344,2024-01-25T22:50:00.000,024XX S WESTERN AVE,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,1034,010,25,31,08A,1160751,1887871,2024,2024-02-02T15:41:03.000,41.848010892,-87.685526373,"{'latitude': '41.848010892', 'longitude': '-87.685526373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,204,26,43,21,159,25
13348582,JH128347,2024-01-25T22:50:00.000,002XX W HARRISON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,False,0123,001,34,32,04A,1174673,1897628,2024,2024-02-02T15:41:03.000,41.874485237,-87.634140739,"{'latitude': '41.874485237', 'longitude': '-87.634140739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14917,38,12,26,44,22,144,34
13348600,JH128476,2024-01-25T22:42:00.000,047XX W MAYPOLE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1113,011,28,25,07,1144733,1901042,2024,2024-02-02T15:41:03.000,41.884470318,-87.743981814,"{'latitude': '41.884470318', 'longitude': '-87.743981814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,696,23,32,16,90,28
