id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13344527,JH123454,2024-01-22T01:50:00.000,043XX N PULASKI RD,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,False,False,1723,017,39,16,03,2024,2024-01-30T15:41:33.000,1148942,1928706,41.960302524,-87.727808338,"{'latitude': '41.960302524', 'longitude': '-87.727808338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,22618,16,364,38,39,1,9,39
13344452,JH123452,2024-01-22T01:40:00.000,049XX S KOMENSKY AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,0815,008,14,57,26,2024,2024-01-30T15:41:33.000,1150196,1871659,41.803734907,-87.724685448,"{'latitude': '41.803734907', 'longitude': '-87.724685448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,54,697,8,56,13,105,14
13345438,JH123447,2024-01-22T01:30:00.000,078XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,DEPARTMENT STORE,False,False,0611,006,17,71,14,2024,2024-01-30T15:41:33.000,1167038,1852647,41.751219684,-87.663460293,"{'latitude': '41.751219684', 'longitude': '-87.663460293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,573,31,59,20,231,17
13344480,JH123449,2024-01-22T01:30:00.000,084XX S MORGAN ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,0613,006,17,71,05,2024,2024-01-30T15:41:33.000,1171118,1848904,41.740860249,-87.64861826,"{'latitude': '41.740860249', 'longitude': '-87.64861826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,530,13,59,20,233,17
13344896,JH123459,2024-01-22T01:30:00.000,031XX S ASHLAND AVE,0810,THEFT,OVER $500,SIDEWALK,False,False,0912,009,12,59,06,2024,2024-01-30T15:41:33.000,1166183,1883676,41.836385231,-87.66571041,"{'latitude': '41.836385231', 'longitude': '-87.66571041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,56,192,1,43,23,165,12
13345093,JH124335,2024-01-22T01:30:00.000,052XX W RACE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1523,015,37,25,14,2024,2024-01-30T15:41:33.000,1141336,1903050,41.890043858,-87.756406633,"{'latitude': '41.890043858', 'longitude': '-87.756406633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,673,45,32,25,84,37
13344551,JH123526,2024-01-22T01:30:00.000,090XX S CORNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0413,004,8,48,07,2024,2024-01-30T15:41:33.000,1188812,1845464,41.731015929,-87.5838994,"{'latitude': '41.731015929', 'longitude': '-87.5838994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,44,492,35,25,19,246,10
13344500,JH123451,2024-01-22T01:15:00.000,018XX W WAVELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1922,019,47,5,14,2024,2024-01-30T15:41:33.000,1163220,1924594,41.948730132,-87.675431516,"{'latitude': '41.948730132', 'longitude': '-87.675431516', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21186,46,644,18,53,5,19,47
13344514,JH123455,2024-01-22T01:10:00.000,003XX E ERIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1834,018,2,8,14,2024,2024-01-30T15:41:33.000,1178627,1904854,41.894224442,-87.619402855,"{'latitude': '41.894224442', 'longitude': '-87.619402855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,158,36,6,14,74,2
13344475,JH123439,2024-01-22T01:10:00.000,065XX S KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0833,008,13,65,08B,2024,2024-01-30T15:41:33.000,1148167,1860870,41.774167371,-87.732403477,"{'latitude': '41.774167371', 'longitude': '-87.732403477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,63,6,15,58,13,209,13
